what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177764948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177768098
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1340177830028
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340177832568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340177837088
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340177838798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177839058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177844498
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1340177872328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340177885768
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340177887048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177887308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177890038
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1340177897868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1340177902348
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1340177902508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1340177902748
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1340177905478
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1340177905488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177905898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177907188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177908458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177909538
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340177911338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177911608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177914198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340177928738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177930088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177931648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340177938578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177939578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177940948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177942048
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177942758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340177951878
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340177953298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177953558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177956248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340177961468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177962668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177964388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177965658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177966778
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177968208
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177973428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177975718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177977138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177978088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177979598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177981138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177982378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340177983418
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340177984778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177985048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340177987708
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177993588
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177998528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340177999508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340178000788
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340178002218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178002478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178005138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340178019048
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1340178033538
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1340178035108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178035358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178039978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178039988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178043308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178045178
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1340178046738
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1340178049338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178091818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178097989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178102809
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340178102819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178106949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178126939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178131039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178133569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178138739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178140429
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1340178140439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178140759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178141629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178142179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178143839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178152379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178155739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178173499
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178173549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178173559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178174879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178176899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178417739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178422389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178423829
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340178423919
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1340178424069
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1340178424069
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1340178424069
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1340178424069
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1340178424069
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1340178424079
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1340178424079
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1340178424079
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1340178424089
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1340178433339
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1340178433339
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1340178433339
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1340178433339
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1340178433339
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1340178433339
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1340178433339
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1340178433339
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1340178433339
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1340178433339
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1340178433339
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1340178433339
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1340178433339
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1340178433349
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1340178433349
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1340178433349
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1340178433349
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1340178433349
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1340178433349
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1340178433349
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1340178433349
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1340178433349
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1340178433349
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1340178433349
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1340178433349
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1340178433349
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1340178433349
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1340178433349
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1340178433349
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1340178433349
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1340178433349
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1340178433349
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1340178433349
